     k_values  n_values  Variability
421         1        25          1.0
422         1        25          1.0
426         1        25          1.0
427         1        25          1.0
429         1        25          1.0
431         1        25          1.0
434         1        25          1.0
436         1        25          1.0
437         1        25          1.0
440         1        25          1.0
443         1        25          1.0
444         1        25          1.0
446         1        25          1.0
448         1        25          1.0
449         1        25          1.0
450         1        25          1.0
451         1        25          1.0
458         1        25          1.0
463         1        25          1.0
465         1        25          1.0
466         1        25          1.0
467         1        25          1.0
468         1        25          1.0
471         1        25          1.0
482         1        25          1.0
485         1        25          1.0
486         1        25          1.0
516         1        25          1.0
517         1        25          1.0
518         1        25          1.0
519         1        25          1.0
520         1        25          1.0
522         1        25          1.0
530         1        25          1.0
532         1        25          1.0
534         1        25          1.0
535         1        25          1.0
536         1        25          1.0
538         1        25          1.0
539         1        25          1.0
540         1        25          1.0
541         1        25          1.0
542         1        25          1.0
544         1        25          1.0
545         1        25          1.0
546         1        25          1.0
550         1        25          1.0
552         1        25          1.0
553         1        25          1.0
554         1        25          1.0
555         1        25          1.0
556         1        25          1.0
557         1        25          1.0
558         1        25          1.0
559         1        25          1.0
560         1        25          1.0
561         1        25          1.0
562         1        25          1.0
563         1        25          1.0
564         1        25          1.0
565         1        25          1.0
567         1        25          1.0
568         1        25          1.0
570         1        25          1.0
571         1        25          1.0
574         1        25          1.0
575         1        25          1.0
576         1        25          1.0
577         1        25          1.0
579         1        25          1.0
580         1        25          1.0
582         1        25          1.0
585         1        25          1.0
586         1        25          1.0
589         1        25          1.0
591         1        25          1.0
592         1        25          1.0
593         1        25          1.0
594         1        25          1.0
595         1        25          1.0
599         1        25          1.0
600         1        25          1.0
602         1        25          1.0
603         1        25          1.0
604         1        25          1.0
606         1        25          1.0
608         1        25          1.0
609         1        25          1.0
610         1        25          1.0
611         1        25          1.0
612         1        25          1.0
613         1        25          1.0
615         1        25          1.0
617         1        25          1.0
619         1        25          1.0
620         1        25          1.0
621         1        25          1.0
622         1        25          1.0
623         1        25          1.0
624         1        25          1.0
633         1        25          1.0
635         1        25          1.0
644         1        25          1.0
645         1        25          1.0
648         1        25          1.0
653         1        25          1.0
654         1        25          1.0
656         1        25          1.0
657         1        25          1.0
658         1        25          1.0
659         1        25          1.0
664         1        25          1.0
669         1        25          1.0
675         1        25          1.0
676         1        25          1.0
678         1        25          1.0
679         1        25          1.0
687         1        25          1.0
690         1        25          1.0
697         1        25          1.0
699         1        25          1.0
700         1        25          1.0
702         1        25          1.0
709         1        25          1.0
710         1        25          1.0
711         1        25          1.0
712         1        25          1.0
716         1        25          1.0
719         1        25          1.0
722         1        25          1.0
724         1        25          1.0
725         1        25          1.0
727         1        25          1.0
728         1        25          1.0
730         1        25          1.0
732         1        25          1.0
733         1        25          1.0
736         1        25          1.0
737         1        25          1.0
739         1        25          1.0
740         1        25          1.0
741         1        25          1.0
743         1        25          1.0
747         1        25          1.0
749         1        25          1.0
750         1        25          1.0
751         1        25          1.0
752         1        25          1.0
753         1        25          1.0
754         1        25          1.0
756         1        25          1.0
764         1        25          1.0
765         1        25          1.0
766         1        25          1.0
769         1        25          1.0
771         1        25          1.0
778         1        25          1.0
779         1        25          1.0
789         1        25          1.0
790         1        25          1.0
791         1        25          1.0
792         1        25          1.0
793         1        25          1.0
796         1        25          1.0
797         1        25          1.0
798         1        25          1.0
799         1        25          1.0
801         1        25          1.0
802         1        25          1.0
803         1        25          1.0
804         1        25          1.0
805         1        25          1.0
806         1        25          1.0
810         1        25          1.0
811         1        25          1.0
812         1        25          1.0
813         1        25          1.0
814         1        25          1.0
815         1        25          1.0
816         1        25          1.0
818         1        25          1.0
819         1        25          1.0
820         1        25          1.0
822         1        25          1.0
823         1        25          1.0
824         1        25          1.0
827         1        25          1.0
828         1        25          1.0
829         1        25          1.0
831         1        25          1.0
832         1        25          1.0
833         1        25          1.0
834         1        25          1.0
836         1        25          1.0
837         1        25          1.0
839         1        25          1.0
840         1        25          1.0
842         1        25          1.0
843         1        25          1.0
847         1        25          1.0
851         1        25          1.0
852         1        25          1.0
853         1        25          1.0
854         1        25          1.0
858         1        25          1.0
866         1        25          1.0
890         1        25          1.0
893         1        25          1.0
895         1        25          1.0
896         1        25          1.0
897         1        25          1.0
899         1        25          1.0
900         1        25          1.0
901         1        25          1.0
902         1        25          1.0
903         1        25          1.0
904         1        25          1.0
907         1        25          1.0
908         1        25          1.0
914         1        25          1.0
915         1        25          1.0
917         1        25          1.0
918         1        25          1.0
920         1        25          1.0
921         1        25          1.0
922         1        25          1.0
924         1        25          1.0
925         1        25          1.0
927         1        25          1.0
928         1        25          1.0
929         1        25          1.0
932         1        25          1.0
933         1        25          1.0
934         1        25          1.0
935         1        25          1.0
936         1        25          1.0
937         1        25          1.0
941         1        25          1.0
942         1        25          1.0
943         1        25          1.0
944         1        25          1.0
945         1        25          1.0
947         1        25          1.0
948         1        25          1.0
949         1        25          1.0
950         1        25          1.0
951         1        25          1.0
952         1        25          1.0
953         1        25          1.0
954         1        25          1.0
957         1        25          1.0
958         1        25          1.0
959         1        25          1.0
960         1        25          1.0
961         1        25          1.0
962         1        25          1.0
963         1        25          1.0
965         1        25          1.0
966         1        25          1.0
967         1        25          1.0
968         1        25          1.0
969         1        25          1.0
970         1        25          1.0
971         1        25          1.0
972         1        25          1.0
973         1        25          1.0
974         1        25          1.0
975         1        25          1.0
976         1        25          1.0
977         1        25          1.0
979         1        25          1.0
980         1        25          1.0
981         1        25          1.0
982         1        25          1.0
983         1        25          1.0
986         1        25          1.0
988         1        25          1.0
989         1        25          1.0
993         1        25          1.0
994         1        25          1.0
